"id_plant","date","weight_kg","timing","estimated_weight_after","dryW_kg","phyto","treatment_co2","water_treatment","plant_in_pot","increment_g","day_incr","daily_transp","estimated_weight_before","daily_transp_est_20210506","daily_transp_est_20210603"
28,2021-05-03,6.264,"2_after watering","no",3.97424,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
28,2021-05-06,5.986,"1_before watering","no",3.97424,2,"ambient","drought","yes",278,3,92.6666666666668,"no",92.6666666666668,NA
28,2021-05-06,6.339,"2_after watering","no",3.97424,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
28,2021-05-07,6.2715,"1_before watering","no",3.97424,2,"ambient","drought","yes",67.5000000000008,1,67.5000000000008,"no",92.6666666666668,NA
28,2021-05-10,5.92,"1_before watering","no",3.97424,2,"ambient","drought","yes",351.5,3,117.166666666667,"no",92.6666666666668,NA
28,2021-05-10,6.3105,"2_after watering","no",3.97424,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
28,2021-05-12,6.004,"1_before watering","no",3.97424,2,"ambient","drought","yes",306.500000000001,2,153.25,"no",92.6666666666668,NA
28,2021-05-12,6.3725,"2_after watering","no",3.97424,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
28,2021-05-17,5.751,"1_before watering","no",3.97424,2,"ambient","drought","yes",621.499999999999,5,124.3,"no",92.6666666666668,NA
28,2021-05-20,5.442,"1_before watering","no",3.97424,2,"ambient","drought","yes",309,3,103,"no",92.6666666666668,NA
28,2021-05-24,5.2475,"1_before watering","no",3.97424,2,"ambient","drought","yes",194.500000000001,4,48.6250000000001,"no",92.6666666666668,NA
28,2021-05-27,5.136,"1_before watering","no",3.97424,2,"ambient","drought","yes",111.499999999999,3,37.1666666666665,"no",92.6666666666668,NA
28,2021-05-31,5.04,"1_before watering","no",3.97424,2,"ambient","drought","yes",96.0000000000001,4,24,"no",92.6666666666668,NA
28,2021-06-02,5.0025,"1_before watering","no",3.97424,2,"ambient","drought","yes",37.4999999999996,2,18.7499999999998,"no",92.6666666666668,NA
31,2021-04-29,6.725,"2_after watering","no",4.46794,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
31,2021-05-03,6.183,"1_before watering","no",4.46794,2,"ambient","control","yes",464,4,NA,"yes",116,116.833333333333
31,2021-05-03,6.647,"2_after watering","no",4.46794,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
31,2021-05-06,6.299,"1_before watering","no",4.46794,2,"ambient","control","yes",348,3,116,"no",116,116.833333333333
31,2021-05-06,6.678,"2_after watering","no",4.46794,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
31,2021-05-10,6.317,"1_before watering","no",4.46794,2,"ambient","control","yes",361,4,90.2499999999999,"no",116,116.833333333333
31,2021-05-10,6.691,"2_after watering","no",4.46794,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
31,2021-05-13,6.2295,"1_before watering","no",4.46794,2,"ambient","control","yes",461.5,3,153.833333333333,"no",116,116.833333333333
31,2021-05-13,6.587,"2_after watering","no",4.46794,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
31,2021-05-17,6.057,"1_before watering","no",4.46794,2,"ambient","control","yes",529.999999999999,4,132.5,"no",116,116.833333333333
31,2021-05-17,6.4375,"2_after watering","no",4.46794,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
31,2021-05-20,6.055,"1_before watering","no",4.46794,2,"ambient","control","yes",382.5,3,127.5,"no",116,116.833333333333
31,2021-05-20,6.4415,"2_after watering","no",4.46794,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
31,2021-05-24,5.852,"1_before watering","no",4.46794,2,"ambient","control","yes",589.499999999999,4,147.375,"no",116,116.833333333333
31,2021-05-24,6.212,"2_after watering","no",4.46794,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
31,2021-05-27,5.831,"1_before watering","no",4.46794,2,"ambient","control","yes",380.999999999999,3,127,"no",116,116.833333333333
31,2021-05-27,6.202,"2_after watering","no",4.46794,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
31,2021-05-31,5.7295,"1_before watering","no",4.46794,2,"ambient","control","yes",472.5,4,118.125,"no",116,116.833333333333
31,2021-05-31,6.1055,"2_after watering","no",4.46794,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
31,2021-06-03,5.755,"1_before watering","no",4.46794,2,"ambient","control","yes",350.5,3,116.833333333333,"no",116,116.833333333333
31,2021-06-03,6.15,"2_after watering","no",4.46794,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
31,2021-06-06,NA,"1_before watering","no",4.46794,2,"ambient","control","yes",350.5,3,NA,"yes",116,116.833333333333
31,2021-06-06,6.167375,"2_after watering","yes",4.46794,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
