id_plant,date,weight_kg,timing,dryW_kg,phyto,treatment_co2,water_treatment,plant_in_pot
61,31/05/2021,6.4895,1_before watering,4.01986,1,elevated,control,yes
61,31/05/2021,6.8355,2_after watering,4.01986,1,elevated,control,yes
61,03/06/2021,6.4435,1_before watering,4.01986,1,elevated,control,yes
61,03/06/2021,6.826,2_after watering,4.01986,1,elevated,control,yes
61,06/06/2021,NA,1_before watering,4.01986,1,elevated,control,yes
61,06/06/2021,NA,2_after watering,4.01986,1,elevated,control,yes
61,09/06/2021,6.375,1_before watering,4.01986,1,elevated,control,yes
61,09/06/2021,6.76,2_after watering,4.01986,1,elevated,control,yes
61,10/06/2021,6.6605,1_before watering,4.01986,1,elevated,control,yes
64,03/05/2021,NA,1_before watering,4.54853,2,ambient,control,yes
64,03/05/2021,6.8055,2_after watering,4.54853,2,ambient,control,yes
64,06/05/2021,6.5565,1_before watering,4.54853,2,ambient,control,yes
64,06/05/2021,6.8765,2_after watering,4.54853,2,ambient,control,yes
64,07/05/2021,6.8135,1_before watering,4.54853,2,ambient,control,yes
64,10/05/2021,6.47,1_before watering,4.54853,2,ambient,control,yes
64,10/05/2021,6.8335,2_after watering,4.54853,2,ambient,control,yes
64,13/05/2021,6.4915,1_before watering,4.54853,2,ambient,control,yes
64,13/05/2021,6.8345,2_after watering,4.54853,2,ambient,control,yes
64,17/05/2021,6.41,1_before watering,4.54853,2,ambient,control,yes
64,17/05/2021,6.767,2_after watering,4.54853,2,ambient,control,yes
64,20/05/2021,6.3005,1_before watering,4.54853,2,ambient,control,yes
64,20/05/2021,6.68,2_after watering,4.54853,2,ambient,control,yes
64,24/05/2021,6.24,1_before watering,4.54853,2,ambient,control,yes
64,24/05/2021,6.6025,2_after watering,4.54853,2,ambient,control,yes
64,27/05/2021,6.1565,1_before watering,4.54853,2,ambient,control,yes
64,27/05/2021,6.5445,2_after watering,4.54853,2,ambient,control,yes
64,31/05/2021,6.043,1_before watering,4.54853,2,ambient,control,yes
64,31/05/2021,6.4085,2_after watering,4.54853,2,ambient,control,yes
64,03/06/2021,5.9255,1_before watering,4.54853,2,ambient,control,yes
64,03/06/2021,6.298,2_after watering,4.54853,2,ambient,control,yes
64,06/06/2021,NA,1_before watering,4.54853,2,ambient,control,yes
64,06/06/2021,NA,2_after watering,4.54853,2,ambient,control,yes
64,07/06/2021,6.2525,1_before watering,4.54853,2,ambient,control,yes
