phytotron,ID_plant,water_treatment1,water_treatment,date_i,initial_height_cm,initial_stem_width_1_cm,initial_stem_width_2_cm,initial_stem_width_mean,initial_branching,initial_r^2,initial_vol,date_f,height_cm,stem_width_1_cm,stem_width_2_cm,stem_width_mean,branching,r^2,vol,OBS,n_days,diff_vol,diff_vol_corrections,DAYS_diff_vol_corrections
1,39,moderate_drought,control,20210420,108.5,1.16,1.23,1.195,20,0.35700625,40.56338368,20210609,109,1.44,1.04,1.24,21,0.3844,43.87715852,destructive harvest,50,3.313774838,3.313774838,0.066275497
1,58,moderate_drought,control,20210420,125,1.15,1.18,1.165,14,0.33930625,44.41508426,20210609,125,1.56,1.48,1.52,21,0.5776,75.6076632,destructive harvest,50,31.19257893,31.19257893,0.623851579
1,93,moderate_drought,control,20210420,127.5,1.63,1.69,1.66,27,0.6889,91.98033511,20210609,131,1.97,1.74,1.855,27,0.86025625,118.0124292,destructive harvest,50,26.03209412,26.03209412,0.520641882
1,54,control,control,20210420,109,1.5,1.4,1.45,21,0.525625,59.9972202,20210610,112,1.69,1.73,1.71,22,0.731025,85.73909006,destructive harvest,51,25.74186986,25.74186986,0.504742546
1,61,control,control,20210420,119.5,1.46,1.45,1.455,21,0.52925625,66.23118395,20210610,119,1.69,1.73,1.71,22,0.731025,91.09778319,destructive harvest,51,24.86659924,24.86659924,0.487580377
1,89,control,control,20210420,119.5,1.1,1.09,1.095,21,0.29975625,37.51152931,20210610,125,1.34,1.3,1.32,23,0.4356,57.01990666,destructive harvest,51,19.50837735,19.50837735,0.382517203
1,114,control,control,20210420,107.5,1.35,1.3,1.325,21,0.43890625,49.40931665,20210610,117,1.6,1.56,1.58,23,0.6241,76.46605103,destructive harvest,51,27.05673438,27.05673438,0.530524204
1,5,drought,drought,20210420,122,1.22,1.27,1.245,18,0.38750625,49.50706272,20210505,123,1.31,1.27,1.29,18,0.416025,53.58622443,destructive harvest,15,4.079161711,4.079161711,0.271944114
1,18,drought,drought,20210420,109,1.43,1.44,1.435,13,0.51480625,58.76231903,20210505,112,1.44,1.46,1.45,14,0.525625,61.64851984,destructive harvest,15,2.886200806,2.886200806,0.192413387
1,87,drought,drought,20210420,128,1.65,1.65,1.65,20,0.680625,91.23185066,20210505,132,1.67,1.67,1.67,24,0.697225,96.37746527,destructive harvest,15,5.145614607,5.145614607,0.343040974
1,11,drought,drought,20210420,113,1.15,1.14,1.145,15,0.32775625,38.78448629,20210520,116,1.28,1.26,1.27,17,0.403225,48.98172298,destructive harvest,30,10.19723669,10.19723669,0.33990789
1,34,drought,drought,20210420,136,1.41,1.46,1.435,23,0.51480625,73.31812283,20210520,136,1.63,1.61,1.62,22,0.6561,93.44101861,destructive harvest,30,20.12289578,20.12289578,0.670763193
1,45,drought,drought,20210420,109,1.58,1.48,1.53,18,0.585225,66.80023437,20210520,116,1.63,1.7,1.665,18,0.69305625,84.18894971,destructive harvest,30,17.38871534,17.38871534,0.579623845
1,52,drought,drought,20210420,121.5,1.17,1.3,1.235,26,0.38130625,48.51531101,20210520,123,1.42,1.32,1.37,24,0.469225,60.43866633,destructive harvest,30,11.92335532,11.92335532,0.397445177
